"ano";"experiencia";"emprego";"cargo";"salario_USD";"pais_empreg";"trab_remoto";"pais_empresa";"tam_empresa"
2021;"MI";"FT";"Data Scientist";90734;"DE";"Parcial";"DE";"L"
2021;"MI";"FT";"Data Engineer";26005;"RO";"Não";"US";"L"
2021;"SE";"FT";"Finance Data Analyst";61896;"GB";"Parcial";"GB";"L"
2021;"MI";"FL";"Machine Learning Scientist";12000;"PK";"Parcial";"PK";"M"
2021;"MI";"FT";"Data Engineer";4000;"IR";"Sim";"IR";"M"
2021;"SE";"FT";"Data Analytics Engineer";50000;"VN";"Sim";"GB";"M"
2021;"EX";"FT";"Data Science Consultant";69741;"FR";"Sim";"ES";"S"
2021;"SE";"FT";"Data Engineer";76833;"RO";"Parcial";"GB";"S"
2021;"MI";"FT";"Machine Learning Engineer";74000;"JP";"Parcial";"JP";"S"
2021;"SE";"FT";"Data Science Manager";152000;"US";"Sim";"FR";"L"
2021;"EN";"FT";"Machine Learning Engineer";21844;"CO";"Parcial";"CO";"M"
2021;"MI";"FT";"Big Data Engineer";18000;"MD";"Não";"MD";"S"
2021;"SE";"FT";"Data Science Manager";174000;"US";"Sim";"US";"L"
2021;"SE";"FT";"Research Scientist";96113;"CA";"Parcial";"CA";"L"
2021;"MI";"FT";"Data Scientist";147000;"US";"Parcial";"US";"L"
2021;"EN";"FT";"BI Data Analyst";9272;"KE";"Sim";"KE";"S"
2021;"SE";"FT";"Machine Learning Engineer";24342;"IN";"Sim";"IN";"L"
2021;"SE";"FT";"Data Science Manager";54094;"IN";"Parcial";"US";"L"
2021;"EN";"FT";"Data Science Consultant";90000;"US";"Sim";"US";"S"
2021;"MI";"FT";"Data Scientist";61467;"DE";"Parcial";"AT";"M"
2021;"SE";"FT";"Machine Learning Infrastructure Engineer";195000;"US";"Sim";"US";"M"
2021;"MI";"FT";"Data Scientist";37825;"ES";"Sim";"ES";"L"
2021;"SE";"FT";"Research Scientist";50000;"FR";"Sim";"US";"S"
2021;"MI";"FT";"Data Scientist";160000;"US";"Sim";"US";"L"
2021;"MI";"FT";"Data Scientist";12901;"BR";"Não";"BR";"S"
2021;"SE";"FT";"Machine Learning Engineer";200000;"US";"Sim";"US";"L"
2021;"SE";"FT";"Data Engineer";165000;"US";"Não";"US";"M"
2021;"MI";"FL";"Data Engineer";20000;"IT";"Não";"US";"L"
2021;"SE";"FT";"Data Analytics Manager";120000;"US";"Não";"US";"L"
2021;"MI";"FT";"Machine Learning Engineer";24823;"SI";"Parcial";"SI";"L"
2021;"MI";"FT";"Research Scientist";56738;"FR";"Parcial";"FR";"S"
2021;"MI";"FT";"Data Engineer";66022;"HK";"Parcial";"GB";"S"
2021;"EN";"FT";"Big Data Engineer";5882;"IN";"Não";"CH";"L"
2021;"EN";"FT";"Machine Learning Engineer";24823;"DE";"Parcial";"DE";"M"
2021;"SE";"FT";"Principal Data Engineer";185000;"US";"Sim";"US";"L"
2021;"EN";"PT";"Computer Vision Engineer";28609;"DK";"Parcial";"DK";"S"
2021;"MI";"FT";"Data Scientist";90734;"DE";"Parcial";"DE";"L"
2021;"MI";"FT";"Machine Learning Engineer";88654;"BE";"Sim";"BE";"M"
2021;"SE";"FT";"Data Analytics Manager";140000;"US";"Sim";"US";"L"
2021;"MI";"FT";"Machine Learning Engineer";46597;"PL";"Sim";"PL";"L"
2021;"MI";"FT";"Data Scientist";116914;"GB";"Parcial";"GB";"L"
2021;"MI";"FT";"Data Scientist";33808;"IN";"Não";"IN";"M"
2021;"MI";"FT";"Data Scientist";56256;"GB";"Parcial";"GB";"L"
2021;"SE";"FT";"Machine Learning Scientist";225000;"US";"Sim";"CA";"L"
2021;"EX";"CT";"Principal Data Scientist";416000;"US";"Sim";"US";"S"
2021;"SE";"FT";"Data Scientist";87738;"CA";"Sim";"CA";"S"
2021;"MI";"FT";"Data Scientist";88654;"DE";"Parcial";"DE";"L"
2021;"SE";"FT";"Data Scientist";135000;"US";"Não";"US";"L"
2021;"SE";"FT";"Data Analyst";71786;"CA";"Sim";"CA";"M"
2021;"EN";"FT";"Big Data Engineer";16228;"IN";"Sim";"IN";"L"
2021;"SE";"FT";"ML Engineer";256000;"US";"Sim";"US";"S"
2021;"SE";"FT";"Director of Data Engineering";200000;"US";"Sim";"US";"L"
2021;"SE";"FT";"Data Analyst";200000;"US";"Sim";"US";"L"
2021;"MI";"FT";"Data Architect";180000;"US";"Sim";"US";"L"
2021;"MI";"FT";"Head of Data Science";110000;"US";"Não";"US";"S"
2021;"MI";"FT";"Research Scientist";63810;"CA";"Sim";"CA";"M"
2021;"MI";"FT";"Data Scientist";46809;"ES";"Sim";"ES";"M"
2021;"EN";"FT";"Data Scientist";4000;"VN";"Não";"VN";"M"
2021;"EN";"FT";"Data Engineer";21637;"IN";"Parcial";"IN";"M"
2021;"SE";"FT";"Data Scientist";103691;"CA";"Sim";"CA";"L"
2021;"MI";"FT";"Data Analyst";80000;"US";"Sim";"US";"L"
2021;"MI";"FT";"Data Engineer";110000;"US";"Sim";"US";"L"
2021;"SE";"FT";"Data Scientist";165000;"US";"Sim";"US";"L"
2021;"EN";"FT";"AI Scientist";18053;"IN";"Sim";"AS";"S"
2021;"MI";"FT";"Data Engineer";72212;"GB";"Parcial";"GB";"L"
2021;"EN";"FT";"Data Scientist";36643;"FR";"Parcial";"FR";"L"
2021;"MI";"FT";"Data Engineer";12103;"TR";"Não";"TR";"M"
2021;"SE";"FT";"Data Engineer";96282;"GB";"Parcial";"GB";"L"
2021;"SE";"FT";"Principal Data Analyst";170000;"US";"Sim";"US";"M"
2021;"MI";"FT";"Data Scientist";115000;"US";"Parcial";"US";"L"
2021;"EN";"FT";"Data Scientist";90000;"US";"Sim";"US";"S"
2021;"EX";"FT";"Principal Data Engineer";600000;"US";"Sim";"US";"L"
2021;"EN";"FT";"Data Scientist";28399;"IN";"Sim";"IN";"M"
2021;"MI";"FT";"Data Analyst";93000;"US";"Sim";"US";"L"
2021;"SE";"FT";"Big Data Architect";99703;"CA";"Parcial";"CA";"M"
2021;"MI";"FT";"Data Engineer";200000;"US";"Sim";"US";"L"
2021;"SE";"FT";"Principal Data Scientist";173762;"DE";"Sim";"DE";"M"
2021;"SE";"FT";"Machine Learning Engineer";185000;"US";"Parcial";"US";"L"
2021;"EX";"FT";"Director of Data Science";141846;"DE";"Não";"DE";"L"
2021;"MI";"FT";"Data Scientist";130000;"US";"Parcial";"US";"L"
2021;"SE";"FT";"Data Analyst";63831;"DE";"Parcial";"DE";"L"
2021;"MI";"FT";"Data Scientist";16904;"IN";"Sim";"IN";"S"
2021;"SE";"FT";"Machine Learning Engineer";66265;"IN";"Não";"IN";"L"
2021;"MI";"FT";"Data Scientist";25532;"RS";"Sim";"DE";"S"
2021;"SE";"FT";"Lead Data Engineer";160000;"PR";"Parcial";"US";"S"
2021;"MI";"FT";"Data Engineer";93150;"US";"Não";"US";"M"
2021;"MI";"FT";"Data Engineer";111775;"US";"Não";"US";"M"
2021;"MI";"FT";"Data Engineer";28016;"TR";"Sim";"TR";"M"
2021;"EN";"FT";"Data Engineer";65013;"DE";"Parcial";"DE";"M"
2021;"EN";"FT";"Data Engineer";72500;"US";"Sim";"US";"L"
2021;"SE";"FT";"Computer Vision Engineer";18907;"BR";"Não";"BR";"M"
2021;"EN";"FT";"Data Science Consultant";76833;"DE";"Não";"DE";"L"
2021;"EN";"FT";"Machine Learning Engineer";85000;"NL";"Sim";"DE";"S"
2021;"SE";"FT";"Data Scientist";77684;"FR";"Parcial";"FR";"M"
2021;"EN";"FT";"Data Scientist";100000;"US";"Sim";"US";"M"
2021;"EN";"FT";"Data Scientist";58000;"US";"Parcial";"US";"L"
2021;"SE";"FT";"AI Scientist";55000;"ES";"Sim";"ES";"L"
2021;"SE";"FT";"Data Scientist";20171;"TR";"Parcial";"TR";"L"
2021;"EN";"FT";"Business Data Analyst";59102;"LU";"Sim";"LU";"L"
2021;"MI";"FT";"Data Engineer";112000;"US";"Sim";"US";"L"
2021;"EN";"FT";"Research Scientist";100000;"JE";"Não";"CN";"L"
2021;"MI";"PT";"Data Engineer";69741;"NL";"Sim";"NL";"L"
2021;"SE";"CT";"Staff Data Scientist";105000;"US";"Sim";"US";"M"
2021;"MI";"FT";"Research Scientist";69999;"CZ";"Parcial";"CZ";"L"
2021;"SE";"FT";"Data Science Manager";94665;"IN";"Parcial";"IN";"L"
2021;"SE";"FT";"Head of Data";102839;"SI";"Sim";"SI";"L"
2021;"MI";"FT";"Data Scientist";109000;"US";"Parcial";"US";"L"
2021;"MI";"FT";"Machine Learning Engineer";51064;"IT";"Parcial";"IT";"L"
2022;"SE";"FT";"Data Engineer";135000;"US";"Sim";"US";"M"
2022;"SE";"FT";"Data Analyst";155000;"US";"Sim";"US";"M"
2022;"SE";"FT";"Data Analyst";120600;"US";"Sim";"US";"M"
2022;"MI";"FT";"Data Scientist";130000;"US";"Não";"US";"M"
2022;"MI";"FT";"Data Scientist";90000;"US";"Não";"US";"M"
2022;"MI";"FT";"Data Engineer";170000;"US";"Sim";"US";"M"
2022;"MI";"FT";"Data Engineer";150000;"US";"Sim";"US";"M"
2022;"SE";"FT";"Data Analyst";102100;"US";"Sim";"US";"M"
2022;"SE";"FT";"Data Analyst";84900;"US";"Sim";"US";"M"
2022;"SE";"FT";"Data Scientist";136620;"US";"Sim";"US";"M"
2022;"SE";"FT";"Data Scientist";99360;"US";"Sim";"US";"M"
2022;"SE";"FT";"Data Scientist";117789;"GB";"Não";"GB";"M"
2022;"SE";"FT";"Data Scientist";104702;"GB";"Não";"GB";"M"
2022;"SE";"FT";"Data Scientist";146000;"US";"Sim";"US";"M"
2022;"SE";"FT";"Data Scientist";123000;"US";"Sim";"US";"M"
2022;"EN";"FT";"Data Engineer";52351;"GB";"Sim";"GB";"M"
2022;"SE";"FT";"Data Analyst";99000;"US";"Não";"US";"M"
2022;"SE";"FT";"Data Analyst";116000;"US";"Não";"US";"M"
2022;"MI";"FT";"Data Analyst";106260;"US";"Não";"US";"M"
2022;"MI";"FT";"Data Analyst";126500;"US";"Não";"US";"M"
2022;"EX";"FT";"Data Engineer";242000;"US";"Sim";"US";"M"
2022;"EX";"FT";"Data Engineer";200000;"US";"Sim";"US";"M"
2022;"MI";"FT";"Data Scientist";65438;"GB";"Não";"GB";"M"
2022;"MI";"FT";"Data Scientist";39263;"GB";"Não";"GB";"M"
2022;"MI";"FT";"Data Engineer";78526;"GB";"Não";"GB";"M"
2022;"MI";"FT";"Data Engineer";52351;"GB";"Não";"GB";"M"
2022;"SE";"FT";"Data Scientist";165220;"US";"Sim";"US";"M"
2022;"EN";"FT";"Data Engineer";45807;"GB";"Sim";"GB";"M"
2022;"SE";"FT";"Data Scientist";120160;"US";"Sim";"US";"M"
2022;"SE";"FT";"Data Analyst";90320;"US";"Sim";"US";"M"
2022;"SE";"FT";"Data Engineer";181940;"US";"Não";"US";"M"
2022;"SE";"FT";"Data Engineer";132320;"US";"Não";"US";"M"
2022;"SE";"FT";"Data Engineer";220110;"US";"Não";"US";"M"
2022;"SE";"FT";"Data Engineer";160080;"US";"Não";"US";"M"
2022;"SE";"FT";"Data Scientist";180000;"US";"Não";"US";"L"
2022;"SE";"FT";"Data Scientist";120000;"US";"Não";"US";"L"
2022;"SE";"FT";"Data Analyst";124190;"US";"Sim";"US";"M"
2022;"EX";"FT";"Data Analyst";130000;"US";"Sim";"US";"M"
2022;"EX";"FT";"Data Analyst";110000;"US";"Sim";"US";"M"
2022;"SE";"FT";"Data Analyst";170000;"US";"Sim";"US";"M"
2022;"MI";"FT";"Data Analyst";115500;"US";"Sim";"US";"M"
2022;"SE";"FT";"Data Analyst";112900;"US";"Sim";"US";"M"
2022;"SE";"FT";"Data Analyst";90320;"US";"Sim";"US";"M"
2022;"SE";"FT";"Data Analyst";112900;"US";"Sim";"US";"M"
2022;"SE";"FT";"Data Analyst";90320;"US";"Sim";"US";"M"
2022;"SE";"FT";"Data Engineer";165400;"US";"Sim";"US";"M"
2022;"SE";"FT";"Data Engineer";132320;"US";"Sim";"US";"M"
2022;"MI";"FT";"Data Analyst";167000;"US";"Sim";"US";"M"
2022;"SE";"FT";"Data Engineer";243900;"US";"Sim";"US";"M"
2022;"SE";"FT";"Data Analyst";136600;"US";"Sim";"US";"M"
2022;"SE";"FT";"Data Analyst";109280;"US";"Sim";"US";"M"
2022;"SE";"FT";"Data Engineer";128875;"US";"Sim";"US";"M"
2022;"SE";"FT";"Data Engineer";93700;"US";"Sim";"US";"M"
2022;"EX";"FT";"Head of Data Science";224000;"US";"Sim";"US";"M"
2022;"EX";"FT";"Head of Data Science";167875;"US";"Sim";"US";"M"
2022;"EX";"FT";"Analytics Engineer";175000;"US";"Sim";"US";"M"
2022;"SE";"FT";"Data Engineer";156600;"US";"Sim";"US";"M"
2022;"SE";"FT";"Data Engineer";108800;"US";"Não";"US";"M"
2022;"SE";"FT";"Data Scientist";95550;"US";"Não";"US";"M"
2022;"SE";"FT";"Data Engineer";113000;"US";"Não";"US";"L"
2022;"SE";"FT";"Data Analyst";135000;"US";"Sim";"US";"M"
2022;"SE";"FT";"Data Science Manager";161342;"US";"Sim";"US";"M"
2022;"SE";"FT";"Data Science Manager";137141;"US";"Sim";"US";"M"
2022;"SE";"FT";"Data Scientist";167000;"US";"Sim";"US";"M"
2022;"SE";"FT";"Data Scientist";123000;"US";"Sim";"US";"M"
